@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: BN362 :"f:\alu00\adder8bita00.vhdl":25:2:25:3|Removing sequential instance outadderal_cl_7[7] (in view: work.adder8bita00(adder8bita0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\adder8bita00.vhdl":25:2:25:3|Removing sequential instance outadderal_cl_5[7] (in view: work.adder8bita00(adder8bita0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\adder8bita00.vhdl":25:2:25:3|Removing sequential instance outadderal_cl_3[7] (in view: work.adder8bita00(adder8bita0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\adder8bita00.vhdl":25:2:25:3|Removing sequential instance outadderal_cl_2[7] (in view: work.adder8bita00(adder8bita0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\nota00.vhdl":23:2:23:3|Removing sequential instance outnotaal_cl_7[7] (in view: work.nota00(nota0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\nota00.vhdl":23:2:23:3|Removing sequential instance outnotaal_cl_6[7] (in view: work.nota00(nota0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\nota00.vhdl":23:2:23:3|Removing sequential instance outnotaal_cl_5[7] (in view: work.nota00(nota0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\nota00.vhdl":23:2:23:3|Removing sequential instance outnotaal_cl_4[7] (in view: work.nota00(nota0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\nota00.vhdl":23:2:23:3|Removing sequential instance outnotaal_cl_3[7] (in view: work.nota00(nota0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\nota00.vhdl":23:2:23:3|Removing sequential instance outnotaal_cl_2[7] (in view: work.nota00(nota0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\xnora00.vhdl":23:2:23:3|Removing sequential instance outxnoral_cl_7[7] (in view: work.xnora00(xnora0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\xnora00.vhdl":23:2:23:3|Removing sequential instance outxnoral_cl_6[7] (in view: work.xnora00(xnora0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\xnora00.vhdl":23:2:23:3|Removing sequential instance outxnoral_cl_5[7] (in view: work.xnora00(xnora0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\xnora00.vhdl":23:2:23:3|Removing sequential instance outxnoral_cl_4[7] (in view: work.xnora00(xnora0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\xnora00.vhdl":23:2:23:3|Removing sequential instance outxnoral_cl_3[7] (in view: work.xnora00(xnora0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\xnora00.vhdl":23:2:23:3|Removing sequential instance outxnoral_cl_2[7] (in view: work.xnora00(xnora0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\nora00.vhdl":23:2:23:3|Removing sequential instance outnoral_cl_7[7] (in view: work.nora00(nora0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\nora00.vhdl":23:2:23:3|Removing sequential instance outnoral_cl_6[7] (in view: work.nora00(nora0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\nora00.vhdl":23:2:23:3|Removing sequential instance outnoral_cl_5[7] (in view: work.nora00(nora0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"f:\alu00\nora00.vhdl":23:2:23:3|Removing sequential instance outnoral_cl_4[7] (in view: work.nora00(nora0)) of type view:PrimLib.dff(prim) because it does not drive other instances.
